fact	value
start_pc	0x800000C0
payload_cpu_range	0x80001000..0x80100FFF
payload_physical_range	0x00001000..0x00100FFF
payload_bytes	1048576
word_iterations	262144
seed	0x00000091
magic	0x5D588B65
initial_accumulator	0xDF26F436
side_data_physical_range	0x00000200..0x000002FF
dcache_line_bytes	16
dcache_fills	65536
dcache_hits	196608
dcache_dirty_lines	0
guest_checksum_one	0xFAD40ECC
guest_checksum_two	0x1F137F19
header_checksum_one	0xFAD40ECC
header_checksum_two	0x1F137F19
failure_loop_entered	no
success_bal_pc	0x80000240
new_identity	RegimmBgezal
