pc	word	identity
0x80001000	0x24020042	Addiu
0x80001004	0x3C088010	Lui
0x80001008	0x3C098010	Lui
0x8000100C	0x35292000	Ori
0x80001010	0x3C0AA03F	Lui
0x80001014	0x354AF000	Ori
0x80001018	0x240D0001	Addiu
0x8000101C	0x240E0000	Addiu
0x80001020	0x240B0042	Addiu
0x80001024	0x144B0041	Bne
0x80001028	0x00000000	SpecialSll
0x8000102C	0x35CE0001	Ori
0x80001030	0x240D0002	Addiu
0x80001034	0x3C0B1122	Lui
0x80001038	0x356B3344	Ori
0x8000103C	0xAD0B0000	Sw
0x80001040	0x8D0C0000	Lw
0x80001044	0x158B0039	Bne
0x80001048	0x00000000	SpecialSll
0x8000104C	0x35CE0002	Ori
0x80001050	0x240D0003	Addiu
0x80001054	0x3C0B5566	Lui
0x80001058	0x356B7788	Ori
0x8000105C	0xAD2B0000	Sw
0x80001060	0x8D2C0000	Lw
0x80001064	0x158B0031	Bne
0x80001068	0x00000000	SpecialSll
0x8000106C	0x35CE0004	Ori
0x80001070	0x240D0004	Addiu
0x80001074	0x3C0B1122	Lui
0x80001078	0x356B3344	Ori
0x8000107C	0x8D0C0000	Lw
0x80001080	0x158B002A	Bne
0x80001084	0x00000000	SpecialSll
0x80001088	0x35CE0008	Ori
0x8000108C	0x240D0005	Addiu
0x80001090	0x240F00AA	Addiu
0x80001094	0xA10F0001	Sb
0x80001098	0x910C0001	Lbu
0x8000109C	0x158F0023	Bne
0x800010A0	0x00000000	SpecialSll
0x800010A4	0x35CE0010	Ori
0x800010A8	0x240D0006	Addiu
0x800010AC	0x3C0B11AA	Lui
0x800010B0	0x356B3344	Ori
0x800010B4	0x8D0C0000	Lw
0x800010B8	0x158B001C	Bne
0x800010BC	0x00000000	SpecialSll
0x800010C0	0x35CE0020	Ori
0x800010C4	0x01809825	SpecialOr
0x800010C8	0x240D0007	Addiu
0x800010CC	0x3C0B5566	Lui
0x800010D0	0x356B7788	Ori
0x800010D4	0x8D2C0000	Lw
0x800010D8	0x158B0014	Bne
0x800010DC	0x00000000	SpecialSll
0x800010E0	0x35CE0040	Ori
0x800010E4	0x0180A025	SpecialOr
0x800010E8	0x3C11464E	Lui
0x800010EC	0x36313634	Ori
0x800010F0	0xAD510000	Sw
0x800010F4	0x24120002	Addiu
0x800010F8	0xAD520004	Sw
0x800010FC	0x3C10600D	Lui
0x80001100	0x36100001	Ori
0x80001104	0xAD500008	Sw
0x80001108	0xAD40000C	Sw
0x8000110C	0xAD530010	Sw
0x80001110	0xAD540014	Sw
0x80001114	0xAD420018	Sw
0x80001118	0xAD4E001C	Sw
0x8000111C	0x08000449	J
0x80001120	0x00000000	SpecialSll
0x80001124	0x08000449	J
0x80001128	0x00000000	SpecialSll
0x8000112C	0x3C11464E	Lui
0x80001130	0x36313634	Ori
0x80001134	0xAD510000	Sw
0x80001138	0x24120002	Addiu
0x8000113C	0xAD520004	Sw
0x80001140	0x3C10BAD0	Lui
0x80001144	0x020D8025	SpecialOr
0x80001148	0xAD500008	Sw
0x8000114C	0xAD4D000C	Sw
0x80001150	0xAD400010	Sw
0x80001154	0xAD400014	Sw
0x80001158	0xAD420018	Sw
0x8000115C	0xAD4E001C	Sw
0x80001160	0x0800045A	J
0x80001164	0x00000000	SpecialSll
0x80001168	0x0800045A	J
0x8000116C	0x00000000	SpecialSll
